id;date;age;gender;failedinstructions;mmindexp;numgamesplayed;timelimit;codejar;entropy;jarname;numguesses;truncguesses;expguesses;efficiency;rttotal;gamesuccessproportion;truecode;guesses;feedback_smiley;feedback_neutral;rt;gamesuccess
emap066;2018-03-09T11:37:05.166Z;22;1;0;1;-99;-1;"[5;6;6;5;5;5]";2,579434003;HiEnt;10;10;6,2;-3,8;2340701;1;"[6;2;6]";"[[1;1;1];[2;2;2];[2;1;1];[1;2;1];[3;1;3];[1;1;2];[3;2;3];[4;2;4];[5;2;5];[6;2;6]]";"[0;1;0;1;0;0;1;1;1;3]";"[0;0;1;0;0;1;0;0;0;0]";"[151586;172313;190760;202824;220565;253513;270601;281567;291495;305477]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[5;1;1;5;15;5]";2,080241239;MedHiEnt;6;6;5,2;-0,8;6307373;0,1;"[1;1;1]";"[[5;5;6];[1;4;5];[1;2;3];[1;3;4];[1;6;2];[1;1;1]]";"[0;1;1;1;1;3]";"[0;0;0;0;0;0]";"[1018829;1027677;1047284;1054915;1069011;1089657]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[4;4;1;21;1;1]";1,617541691;MedLoEnt;12;12;4,8;-7,2;1421499;0,2;"[4;2;4]";"[[1;2;3];[1;4;5];[1;3;6];[2;5;3];[2;6;1];[3;2;4];[3;2;1];[5;2;4];[1;2;4];[6;2;4];[2;2;4];[4;2;4]]";"[1;0;0;0;0;2;1;2;2;2;2;3]";"[0;1;0;1;1;0;0;0;0;0;0;0]";"[11063;20510;60397;68388;85955;122457;139384;154679;168606;185959;192975;211126]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[5;1;15;5;1;5]";2,080241239;MedHiEnt;8;8;5,2;-2,8;400450;0,3;"[3;4;3]";"[[1;3;4];[1;4;3];[1;4;2];[1;4;1];[1;2;3];[5;4;3];[2;4;3];[3;4;3]]";"[0;2;1;1;1;2;2;3]";"[2;0;0;0;0;0;0;0]";"[15711;23083;30451;42579;48139;62258;83847;94382]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[5;6;6;5;5;5]";2,579434003;HiEnt;7;7;6,2;-0,8;230412;0,4;"[4;5;3]";"[[1;2;3];[1;4;5];[1;4;6];[2;4;5];[5;4;5];[3;4;5];[4;5;3]]";"[1;0;0;0;0;0;3]";"[0;2;1;2;2;3;0]";"[8793;14591;22520;31176;40528;50714;62090]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[5;1;1;5;5;15]";2,080241239;MedHiEnt;11;11;5,2;-5,8;719181;0,5;"[6;5;4]";"[[1;4;5];[1;4;6];[1;4;2];[1;4;3];[1;5;6];[1;5;1];[2;5;3];[3;5;6];[6;5;3];[6;5;2];[6;5;4]]";"[0;0;0;0;1;1;1;1;2;2;3]";"[2;2;1;1;1;0;0;1;0;0;0]";"[7801;14297;23176;40665;62664;71535;78695;90390;99238;109648;121072]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[1;1;21;1;4;4]";1,617541691;MedLoEnt;8;8;4,8;-3,2;312852;0,6;"[6;3;3]";"[[3;3;3];[3;3;4];[3;2;3];[3;3;5];[5;3;3];[1;3;3];[2;3;3];[6;3;3]]";"[2;1;1;1;2;2;2;3]";"[0;1;1;1;0;0;0;0]";"[6720;13520;20505;29288;48054;54579;62702;77484]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[1;1;1;27;1;1]";0,98806367;MinEnt;1;1;2,9;1,9;8001;0,7;"[4;4;4]";"[[4;4;4]]";[3];[0];[8001];[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[5;15;5;1;5;1]";2,080241239;MedHiEnt;9;9;5,2;-3,8;412824;0,8;"[2;2;2]";"[[1;2;2];[1;2;3];[1;3;2];[3;2;2];[5;2;2];[1;2;2];[4;2;2];[6;2;2];[2;2;2]]";"[2;1;1;2;2;2;2;2;3]";"[0;0;0;0;0;0;0;0;0]";"[10312;14494;24118;38301;44053;53629;63348;73785;90784]";[1]
emap063;2018-03-09T11:55:01.492Z;19;1;3;1;-99;-1;"[1;1;1;27;1;1]";0,98806367;MinEnt;1;1;2,9;1,9;7809;0,9;"[4;4;4]";"[[4;4;4]]";[3];[0];[7809];[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[1;5;5;5;15;1]";2,080241239;MedHiEnt;4;4;5,2;1,2;3452383;0,1;"[3;2;5]";"[[1;4;1];[5;3;2];[2;5;3];[3;2;5]]";"[0;0;0;3]";"[0;3;3;0]";"[846055;858718;868789;878821]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[5;5;6;5;6;5]";2,579434003;HiEnt;5;5;6,2;1,2;159409;0,2;"[5;1;1]";"[[1;2;3];[5;1;4];[5;1;6];[5;1;2];[5;1;1]]";"[0;2;2;2;3]";"[1;0;0;0;0]";"[9193;19853;28060;47612;54691]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[27;1;1;1;1;1]";0,98806367;MinEnt;5;5;2,9;-2,1;81264;0,3;"[1;1;5]";"[[1;1;1];[1;1;2];[1;1;3];[1;1;4];[1;1;5]]";"[2;2;2;2;3]";"[0;0;0;0;0]";"[5449;12721;16341;20788;25965]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[5;5;5;6;6;5]";2,579434003;HiEnt;4;4;6,2;2,2;64990;0,4;"[1;6;6]";"[[1;2;3];[1;4;5];[1;6;1];[1;6;6]]";"[1;1;2;3]";"[0;0;0;0]";"[5487;11208;19672;28623]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[1;1;1;1;27;1]";0,98806367;MinEnt;12;12;2,9;-9,1;978983;0,5;"[5;5;5]";"[[1;6;4];[5;2;5];[5;2;3];[5;2;2];[5;2;5];[5;2;6];[5;2;1];[5;5;2];[5;5;2];[5;5;3];[5;5;4];[5;5;5]]";"[0;2;1;1;2;1;1;2;2;2;2;3]";"[0;0;0;0;0;0;0;0;0;0;0;0]";"[13144;21768;31368;49719;62798;80217;91081;103960;113960;127087;138327;145554]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[4;4;1;1;1;21]";1,617541691;MedLoEnt;32;20;4,8;-15,2;4216247;0,6;"[6;2;6]";"[[1;1;1];[1;2;3];[1;4;5];[1;5;6];[1;6;3];[3;1;3];[1;6;6];[1;1;6];[1;2;6];[1;2;4];[1;2;5];[1;3;3];[1;2;1];[1;2;6];[1;6;2];[1;2;6];[2;6;1];[2;1;6];[2;1;2];[1;2;6];[1;2;3];[1;2;4];[1;2;5];[1;1;6];[1;6;2];[6;1;2];[6;2;1];[6;2;2];[6;2;3];[6;2;4];[6;2;5];[6;2;6]]";"[0;1;0;1;0;0;1;1;2;1;1;0;1;2;0;2;0;1;0;2;1;1;1;1;0;1;2;2;2;2;2;3]";"[0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;2;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0]";"[3962;7202;15753;22657;32617;40265;52128;59798;70334;76062;86406;94558;102038;110933;116238;126846;137503;144254;159773;167100;173717;178682;190233;196538;202794;210123;217177;229696;237181;242957;251741;258981]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[5;5;1;5;1;15]";2,080241239;MedHiEnt;17;17;5,2;-11,8;1274622;0,7;"[6;6;1]";"[[1;3;2];[1;4;5];[2;1;6];[1;1;2];[1;2;4];[2;3;1];[2;6;1];[2;6;2];[2;6;3];[1;2;2];[2;6;6];[2;2;6];[2;4;6];[2;2;2];[6;6;2];[6;6;6];[6;6;1]]";"[0;0;0;0;0;1;2;1;1;0;1;0;0;0;2;2;3]";"[1;1;2;1;1;0;0;0;0;1;1;1;1;0;0;0;0]";"[7561;15080;22208;34497;43577;51128;58625;66744;73641;78656;93991;102234;111042;116570;124482;133417;141169]";[1]
