"","guess1","guess2","guess3","truth1","truth2","truth3","code1","code2","code3","code4","code5","code6","game","id"
"2646",2,1,3,2,1,2,1,21,1,4,4,1,1,1
"2647",2,1,4,2,1,2,1,21,1,4,4,1,1,1
"2648",2,1,1,2,1,2,1,21,1,4,4,1,1,1
"2649",2,1,2,2,1,2,1,21,1,4,4,1,1,1
"2650",1,2,3,5,5,5,1,1,1,1,27,1,2,1
"2651",2,3,1,5,5,5,1,1,1,1,27,1,2,1
"2652",3,1,2,5,5,5,1,1,1,1,27,1,2,1
"2653",4,5,4,5,5,5,1,1,1,1,27,1,2,1
"2654",4,6,5,5,5,5,1,1,1,1,27,1,2,1
"2655",4,4,6,5,5,5,1,1,1,1,27,1,2,1
"2656",4,5,5,5,5,5,1,1,1,1,27,1,2,1
"2657",6,5,5,5,5,5,1,1,1,1,27,1,2,1
"2658",5,5,5,5,5,5,1,1,1,1,27,1,2,1
"2659",1,2,3,1,6,5,5,5,5,6,5,6,3,1
"2660",1,3,2,1,6,5,5,5,5,6,5,6,3,1
"2661",1,4,4,1,6,5,5,5,5,6,5,6,3,1
"2662",1,5,5,1,6,5,5,5,5,6,5,6,3,1
"2663",1,5,1,1,6,5,5,5,5,6,5,6,3,1
"2664",1,1,5,1,6,5,5,5,5,6,5,6,3,1
"2665",1,6,5,1,6,5,5,5,5,6,5,6,3,1
"2666",1,2,3,4,3,3,1,5,15,5,5,1,4,1
"2667",1,3,2,4,3,3,1,5,15,5,5,1,4,1
"2668",1,4,4,4,3,3,1,5,15,5,5,1,4,1
"2669",2,3,3,4,3,3,1,5,15,5,5,1,4,1
"2670",1,3,3,4,3,3,1,5,15,5,5,1,4,1
"2671",3,3,3,4,3,3,1,5,15,5,5,1,4,1
"2672",4,3,3,4,3,3,1,5,15,5,5,1,4,1
"2673",1,2,3,4,4,4,1,1,1,27,1,1,5,1
"2674",2,3,4,4,4,4,1,1,1,27,1,1,5,1
"2675",2,1,1,4,4,4,1,1,1,27,1,1,5,1
"2676",1,3,1,4,4,4,1,1,1,27,1,1,5,1
"2677",3,4,4,4,4,4,1,1,1,27,1,1,5,1
"2678",4,4,4,4,4,4,1,1,1,27,1,1,5,1
"2679",1,2,3,1,3,3,1,1,27,1,1,1,6,1
"2680",1,2,4,1,3,3,1,1,27,1,1,1,6,1
"2681",1,3,3,1,3,3,1,1,27,1,1,1,6,1
"2682",1,2,3,6,5,6,5,5,6,5,5,6,7,1
"2683",2,3,4,6,5,6,5,5,6,5,5,6,7,1
"2684",3,4,1,6,5,6,5,5,6,5,5,6,7,1
"2685",4,5,2,6,5,6,5,5,6,5,5,6,7,1
"2686",4,1,2,6,5,6,5,5,6,5,5,6,7,1
"2687",5,5,5,6,5,6,5,5,6,5,5,6,7,1
"2688",6,5,6,6,5,6,5,5,6,5,5,6,7,1
"2689",1,2,3,4,5,6,5,5,1,1,15,5,8,1
"2690",2,3,1,4,5,6,5,5,1,1,15,5,8,1
"2691",2,4,2,4,5,6,5,5,1,1,15,5,8,1
"2692",3,1,4,4,5,6,5,5,1,1,15,5,8,1
"2693",4,5,5,4,5,6,5,5,1,1,15,5,8,1
"2694",4,5,6,4,5,6,5,5,1,1,15,5,8,1
"2695",1,2,3,5,3,3,1,4,4,1,21,1,9,1
"2696",1,3,2,5,3,3,1,4,4,1,21,1,9,1
"2697",1,4,4,5,3,3,1,4,4,1,21,1,9,1
"2698",1,2,2,5,3,3,1,4,4,1,21,1,9,1
"2699",2,3,3,5,3,3,1,4,4,1,21,1,9,1
"2700",3,3,3,5,3,3,1,4,4,1,21,1,9,1
"2701",4,3,3,5,3,3,1,4,4,1,21,1,9,1
"2702",5,3,3,5,3,3,1,4,4,1,21,1,9,1
"2703",1,2,3,4,2,2,1,27,1,1,1,1,10,1
"2704",1,3,2,4,2,2,1,27,1,1,1,1,10,1
"2705",1,4,4,4,2,2,1,27,1,1,1,1,10,1
"2706",4,2,1,4,2,2,1,27,1,1,1,1,10,1
"2707",4,2,5,4,2,2,1,27,1,1,1,1,10,1
"2708",4,2,6,4,2,2,1,27,1,1,1,1,10,1
"2709",4,2,1,4,2,2,1,27,1,1,1,1,10,1
"2710",4,2,2,4,2,2,1,27,1,1,1,1,10,1
"2711",1,2,3,3,5,3,1,5,15,1,5,5,11,1
"2712",1,3,2,3,5,3,1,5,15,1,5,5,11,1
"2713",2,2,3,3,5,3,1,5,15,1,5,5,11,1
"2714",1,3,3,3,5,3,1,5,15,1,5,5,11,1
"2715",1,1,3,3,5,3,1,5,15,1,5,5,11,1
"2716",2,2,3,3,5,3,1,5,15,1,5,5,11,1
"2717",3,4,3,3,5,3,1,5,15,1,5,5,11,1
"2718",3,1,3,3,5,3,1,5,15,1,5,5,11,1
"2719",3,5,3,3,5,3,1,5,15,1,5,5,11,1
"2720",1,2,3,6,6,3,4,1,21,1,1,4,12,1
"2721",1,3,2,6,6,3,4,1,21,1,1,4,12,1
"2722",1,1,3,6,6,3,4,1,21,1,1,4,12,1
"2723",2,4,3,6,6,3,4,1,21,1,1,4,12,1
"2724",3,5,3,6,6,3,4,1,21,1,1,4,12,1
"2725",4,6,3,6,6,3,4,1,21,1,1,4,12,1
